"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""160020 CALCOENE"";-;-;-;413846,82;-;413846,82"
"""160023 FERREIRA GOMES"";-;-;-;169612,67;-;169612,67"
"""160027 LARANJAL DO JARI"";-;-;-;3023284,18;-;3023284,18"
"""160030 MACAPA"";2652939,63;43530292,88;-;84335398,61;-;130518631,12"
"""160040 MAZAGAO"";-;-;-;432863,97;-;432863,97"
"""160050 OIAPOQUE"";-;-;-;1750173,23;-;1750173,23"
"""160053 PORTO GRANDE"";-;-;-;2640978,10;-;2640978,10"
"""160055 PRACUUBA"";-;-;-;401,70;-;401,70"
"""160060 SANTANA"";-;-;-;7813988,84;-;7813988,84"
"""160070 TARTARUGALZINHO"";-;-;-;565700,59;-;565700,59"
"""160080 VITORIA DO JARI"";-;-;-;456735,46;-;456735,46"
"""170025 ABREULANDIA"";-;-;-;86331,19;-;86331,19"
"""170030 AGUIARNOPOLIS"";-;-;-;62820,10;-;62820,10"
"""170035 ALIANCA DO TOCANTINS"";-;-;-;52682,05;-;52682,05"
"""170040 ALMAS"";-;-;-;193952,57;-;193952,57"
"""170070 ALVORADA"";-;-;-;1052940,76;-;1052940,76"
"""170100 ANANAS"";-;-;-;348608,23;-;348608,23"
"""170105 ANGICO"";-;-;-;70299,40;-;70299,40"
"""170110 APARECIDA DO RIO NEGRO"";-;-;-;34927,89;-;34927,89"
"""170130 ARAGOMINAS"";-;-;-;38240,53;-;38240,53"
"""170190 ARAGUACEMA"";-;-;-;419402,68;-;419402,68"
"""170200 ARAGUACU"";-;1100,00;-;795030,27;-;796130,27"
"""170210 ARAGUAINA"";-;11416574,92;-;30974188,86;-;42390763,78"
"""170220 ARAGUATINS"";-;-;-;2748891,31;-;2748891,31"
"""170230 ARAPOEMA"";-;-;-;556452,13;-;556452,13"
"""170240 ARRAIAS"";-;-;-;992257,85;-;992257,85"
"""170255 AUGUSTINOPOLIS"";-;3097,50;-;2879091,98;-;2882189,48"
"""170270 AURORA DO TOCANTINS"";-;-;-;151824,80;-;151824,80"
"""170290 AXIXA DO TOCANTINS"";-;-;-;72094,16;-;72094,16"
"""170300 BABACULANDIA"";-;-;-;35402,80;-;35402,80"
"""170305 BANDEIRANTES DO TOCANTINS"";-;-;-;53485,70;-;53485,70"
"""170307 BARRA DO OURO"";-;-;-;34875,00;-;34875,00"
"""170310 BARROLANDIA"";-;-;-;148600,38;-;148600,38"
"""170320 BERNARDO SAYAO"";-;-;-;19552,40;-;19552,40"
"""170330 BOM JESUS DO TOCANTINS"";-;-;-;96719,60;-;96719,60"
"""170370 BREJINHO DE NAZARE"";-;-;-;184075,83;-;184075,83"
"""170380 BURITI DO TOCANTINS"";-;-;-;128867,67;-;128867,67"
"""170382 CACHOEIRINHA"";-;-;-;31950,00;-;31950,00"
"""170384 CAMPOS LINDOS"";-;-;-;2104,20;-;2104,20"
"""170386 CARIRI DO TOCANTINS"";-;-;-;253194,94;-;253194,94"
"""170388 CARMOLANDIA"";-;-;-;2925,00;-;2925,00"
"""170389 CARRASCO BONITO"";-;-;-;57849,60;-;57849,60"
"""170390 CASEARA"";-;-;-;40326,04;-;40326,04"
"""170410 CENTENARIO"";-;-;-;33314,00;-;33314,00"
"""170460 CHAPADA DE AREIA"";-;-;-;83266,10;-;83266,10"
"""170510 CHAPADA DA NATIVIDADE"";-;-;-;52913,25;-;52913,25"
"""170550 COLINAS DO TOCANTINS"";-;-;-;3047663,54;-;3047663,54"
"""170555 COMBINADO"";-;-;-;119870,43;-;119870,43"
"""170560 CONCEICAO DO TOCANTINS"";-;-;-;207132,56;-;207132,56"
"""170600 COUTO MAGALHAES"";-;-;-;186459,07;-;186459,07"
"""170610 CRISTALANDIA"";-;-;-;354533,97;-;354533,97"
"""170625 CRIXAS DO TOCANTINS"";-;-;-;58682,70;-;58682,70"
"""170650 DARCINOPOLIS"";-;-;-;45301,78;-;45301,78"
"""170700 DIANOPOLIS"";-;150,00;-;1691979,24;-;1692129,24"
"""170710 DIVINOPOLIS DO TOCANTINS"";-;-;-;538827,13;-;538827,13"
"""170720 DOIS IRMAOS DO TOCANTINS"";-;-;-;169655,33;-;169655,33"
"""170730 DUERE"";-;-;-;109725,86;-;109725,86"
"""170740 ESPERANTINA"";-;-;-;166,86;-;166,86"
"""170755 FATIMA"";-;-;-;44365,08;-;44365,08"
"""170765 FIGUEIROPOLIS"";-;-;-;114924,72;-;114924,72"
"""170770 FILADELFIA"";-;-;-;203911,49;-;203911,49"
"""170820 FORMOSO DO ARAGUAIA"";-;-;-;1195044,78;-;1195044,78"
"""170825 TABOCAO"";-;-;-;96275,93;-;96275,93"
