"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""204-6 Sociedade Anìnima Aberta"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""399-9 Associaá∆o Privada"";""Total"""
"""160040 MAZAGAO"";-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14"
"""160050 OIAPOQUE"";-;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128"
"""160053 PORTO GRANDE"";-;273;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;273"
"""160060 SANTANA"";-;400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;400"
"""170100 ANANAS"";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;16"
"""170190 ARAGUACEMA"";-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;46"
"""170210 ARAGUAINA"";-;-;423;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;423"
"""170220 ARAGUATINS"";-;-;-;-;-;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;101"
"""170550 COLINAS DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;158;-;-;-;-;-;-;-;-;-;-;-;-;-;158"
"""170820 FORMOSO DO ARAGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;53"
"""170900 GOIATINS"";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10"
"""171420 NATIVIDADE"";-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;26"
"""171575 PALMEIROPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;14"
"""171700 PINDORAMA DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
"""171790 PONTE ALTA DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;16"
"""172065 SILVANOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;11"
"""172080 SITIO NOVO DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;22"
"""172090 TAGUATINGA"";-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;37"
"""172120 TOCANTINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;73"
"""210005 ACAILANDIA"";-;179;-;-;-;-;-;-;-;-;-;-;440;-;-;-;-;-;-;-;-;-;-;-;-;-;619"
"""210020 ALCANTARA"";-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;77"
"""210030 ALDEIAS ALTAS"";-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;50"
"""210043 ALTO ALEGRE DO MARANHAO"";-;312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;312"
"""210090 ARAIOSES"";-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;23"
"""210120 BACABAL"";-;349;-;-;-;-;-;-;-;-;-;-;643;-;-;-;-;-;-;-;-;-;-;-;-;-;992"
"""210140 BALSAS"";-;376;-;-;-;-;-;-;-;-;-;-;310;-;-;-;-;-;-;-;-;-;-;-;-;-;686"
"""210160 BARRA DO CORDA"";-;211;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;211"
"""210170 BARREIRINHAS"";-;354;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;354"
"""210173 BELAGUA"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13"
"""210177 BELA VISTA DO MARANHAO"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""210190 BEQUIMAO"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""210193 BERNARDO DO MEARIM"";-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;15"
"""210220 BURITI"";-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;48"
"""210230 BURITI BRAVO"";-;-;-;-;-;-;-;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;-;-;-;180"
"""210280 CAROLINA"";-;-;-;-;-;-;-;-;-;-;-;-;172;-;-;-;-;-;-;-;-;-;-;-;-;-;172"
"""210290 CARUTAPERA"";-;284;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;284"
"""210300 CAXIAS"";-;661;-;-;-;-;-;-;-;-;-;-;801;-;-;-;-;-;-;-;-;-;-;-;-;-;1462"
"""210320 CHAPADINHA"";-;183;-;-;-;-;-;-;-;-;-;-;324;-;-;-;-;-;-;-;-;-;-;-;-;-;507"
"""210325 CIDELANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;79;-;-;-;-;-;-;-;-;-;-;-;-;-;79"
"""210330 CODO"";-;-;-;-;-;-;-;-;-;-;-;-;402;-;-;-;-;-;-;-;-;-;-;-;-;-;402"
"""210340 COELHO NETO"";-;-;-;-;-;-;-;-;-;-;-;-;173;-;-;-;-;-;-;-;-;-;-;-;-;-;173"
"""210350 COLINAS"";-;440;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;440"
"""210360 COROATA"";-;462;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;462"
"""210370 CURURUPU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;380;380"
"""210390 DUQUE BACELAR"";-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;45"
"""210400 ESPERANTINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;74"
"""210410 FORTALEZA DOS NOGUEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;75"
"""210480 GRAJAU"";-;299;-;-;-;-;-;-;-;-;-;-;142;-;-;-;-;-;50;-;-;-;-;-;-;-;491"
"""210530 IMPERATRIZ"";-;1332;928;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;196;-;-;-;-;-;-;-;2458"
"""210540 ITAPECURU MIRIM"";-;206;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;206"
"""210542 ITINGA DO MARANHAO"";-;-;-;-;-;-;-;-;-;-;-;-;118;-;-;-;-;-;-;-;-;-;-;-;-;-;118"
"""210545 JATOBA"";-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;38"
"""210547 JENIPAPO DOS VIEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;45"
"""210570 LAGO DA PEDRA"";-;296;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;296"
"""210594 LAGO DOS RODRIGUES"";-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;36"
"""210610 LORETO"";-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;61"
"""210650 MATINHA"";-;-;-;-;-;-;-;-;-;-;-;-;88;-;-;-;-;-;-;-;-;-;-;-;-;-;88"
"""210660 MATOES"";-;-;160;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;160"
"""210680 MIRINZAL"";-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;37"
"""210690 MONCAO"";-;270;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;270"
"""210700 MONTES ALTOS"";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10"
"""210710 MORROS"";-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100"
"""210720 NINA RODRIGUES"";-;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;62"
"""210725 NOVA COLINAS"";-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;32"
"""210735 NOVA OLINDA DO MARANHAO"";-;-;-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;103"
"""210740 OLHO D'AGUA DAS CUNHAS"";-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;80"
"""210750 PACO DO LUMIAR"";-;231;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;231"
"""210760 PALMEIRANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;34"
"""210780 PARNARAMA"";-;-;-;-;-;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;-;-;-;-;141"
"""210790 PASSAGEM FRANCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248;-;-;-;-;-;-;-;248"
"""210805 PAULINO NEVES"";-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74"
"""210820 PEDREIRAS"";-;206;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;206"
"""210830 PENALVA"";-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;64"
"""210840 PERI MIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;14"
"""210845 PERITORO"";-;302;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;302"
"""210860 PINHEIRO"";-;459;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;459"
"""210870 PIO XII"";-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;80"
"""210910 PRESIDENTE DUTRA"";-;610;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;610"
"""210923 PRESIDENTE MEDICI"";-;111;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;111"
"""210927 PRESIDENTE SARNEY"";-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;38"
"""210930 PRESIDENTE VARGAS"";-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;15"
"""210950 RIACHAO"";-;-;132;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132"
"""210960 ROSARIO"";-;-;-;-;-;-;-;-;-;-;-;-;247;-;-;-;-;-;134;-;-;-;-;-;-;-;381"
"""210970 SAMBAIBA"";-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;33"
"""210980 SANTA HELENA"";-;-;-;-;-;-;-;-;-;-;-;-;166;-;-;-;-;-;-;-;-;-;-;-;-;-;166"
"""210990 SANTA INES"";-;577;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;577"
"""211003 SANTA LUZIA DO PARUA"";-;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200"
"""211027 SANTO AMARO DO MARANHAO"";-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;33"
"""211080 SAO FELIX DE BALSAS"";-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;40"
"""211085 SAO FRANCISCO DO BREJAO"";-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51"
"""211107 SAO JOAO DO SOTER"";-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;42"
"""211120 SAO JOSE DE RIBAMAR"";-;-;-;-;-;-;-;-;-;-;-;-;255;-;-;-;-;-;-;-;-;-;-;-;-;-;255"
"""211130 SAO LUIS"";-;4378;1966;-;-;684;-;-;-;-;-;-;-;-;-;1689;-;136;481;-;-;-;-;726;-;717;10777"
"""211140 SAO LUIS GONZAGA DO MARANHAO"";-;-;-;-;-;-;-;-;-;-;-;-;121;-;-;-;-;-;-;-;-;-;-;-;-;-;121"
"""211150 SAO MATEUS DO MARANHAO"";-;157;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;157"
"""211153 SAO PEDRO DA AGUA BRANCA"";-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;70"
"""211160 SAO RAIMUNDO DAS MANGABEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;-;-;-;-;102"
"""211172 SATUBINHA"";-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;35"
"""211178 SERRANO DO MARANHAO"";-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;39"
"""211180 SITIO NOVO"";-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;75"
"""211210 TIMBIRAS"";-;508;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;508"
"""211220 TIMON"";-;556;111;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;667"
"""211223 TRIZIDELA DO VALE"";-;-;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;94"
"""211240 TURIACU"";-;-;-;-;-;-;-;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;-;-;-;112"
"""211245 TURILANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;71"
"""211250 TUTOIA"";-;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;113"
"""211260 URBANO SANTOS"";-;-;-;-;-;-;-;-;-;-;-;-;169;-;-;-;-;-;-;-;-;-;-;-;-;-;169"
"""211270 VARGEM GRANDE"";-;-;114;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114"
"""211280 VIANA"";-;306;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;400"
"""211285 VILA NOVA DOS MARTIRIOS"";-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;39"
"""211400 ZE DOCA"";-;-;-;-;-;-;-;-;-;-;-;-;223;-;-;-;-;-;-;-;-;-;-;-;-;-;223"
"""220010 AGRICOLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""220030 ALTO LONGA"";-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;20"
"""220040 ALTOS"";-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110"
"""220050 AMARANTE"";-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69"
"""220100 ARRAIAL"";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3"
"""220120 BARRAS"";-;165;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;165"
"""220160 BENEDITINOS"";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7"
"""220190 BOM JESUS"";-;479;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;479"
"""220220 CAMPO MAIOR"";-;504;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;504"
"""220230 CANTO DO BURITI"";-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70"
"""220260 CASTELO DO PIAUI"";-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31"
"""220290 CORRENTE"";-;218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;218"
"""220310 CRISTINO CASTRO"";-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;57"
"""220320 CURIMATA"";-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77"
"""220330 DEMERVAL LOBAO"";-;79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;79"
"""220350 ELESBAO VELOSO"";-;127;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;127"
"""220370 ESPERANTINA"";-;326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;326"
"""220400 FRANCINOPOLIS"";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
"""220430 FRONTEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;185;-;-;-;-;-;-;-;-;-;-;-;-;-;185"
"""220450 GUADALUPE"";-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58"
"""220470 INHUMA"";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;16"
"""220510 ITAUEIRA"";-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36"
"""220520 JAICOS"";-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120"
"""220540 JOAQUIM PIRES"";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;11"
"""220550 JOSE DE FREITAS"";-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;-;-;-;99"
"""220570 LUIS CORREIA"";-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;33"
"""220580 LUZILANDIA"";-;291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;291"
"""220590 MANOEL EMIDIO"";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""220620 MIGUEL ALVES"";-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;31"
"""220650 MONSENHOR HIPOLITO"";-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29"
"""220680 NOSSA SENHORA DOS REMEDIOS"";-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;24"
"""220700 OEIRAS"";-;319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319"
"""220730 PAES LANDIM"";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""220760 PARNAGUA"";-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125"
"""220770 PARNAIBA"";-;732;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;606;1386"
"""220790 PEDRO II"";-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;317;381"
"""220800 PICOS"";-;1166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;204;1390"
"""220820 PIO IX"";-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17"
"""220830 PIRACURUCA"";-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;120"
"""220840 PIRIPIRI"";-;655;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;655"
"""220880 REGENERACAO"";-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105"
"""220960 SAO FELIX DO PIAUI"";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
"""221000 SAO JOAO DO PIAUI"";-;87;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;139"
"""221040 SAO MIGUEL DO TAPUIO"";-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35"
"""221060 SAO RAIMUNDO NONATO"";-;497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;498"
"""221070 SIMOES"";-;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86"
"""221100 TERESINA"";-;3197;-;-;-;-;-;-;4381;-;-;-;-;-;-;846;-;-;104;-;-;-;-;99;-;507;9134"
"""221110 UNIAO"";-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;73"
"""221120 URUCUI"";-;135;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;135"
"""221130 VALENCA DO PIAUI"";-;236;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;236"
"""230020 ACARAU"";-;-;-;-;-;-;-;-;-;-;-;-;269;-;-;-;-;-;-;-;-;-;-;-;-;253;522"
"""230030 ACOPIARA"";-;-;-;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;162"
"""230040 AIUABA"";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;21"
"""230060 ALTANEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10"
"""230070 ALTO SANTO"";-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;30"
"""230080 ANTONINA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;12"
"""230090 APUIARES"";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;6"
"""230100 AQUIRAZ"";-;-;-;-;-;-;-;-;-;-;-;-;186;-;-;-;-;-;-;-;-;-;-;-;-;-;186"
"""230110 ARACATI"";-;-;-;-;-;-;-;-;-;-;-;-;317;-;-;-;-;-;-;-;-;-;-;-;-;142;459"
"""230120 ARACOIABA"";-;-;-;-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;-;-;-;-;-;-;-;-;149"
"""230130 ARARIPE"";-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;29"
"""230160 ASSARE"";-;-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;65"
"""230170 AURORA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;238;-;-;238"
"""230190 BARBALHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;651;-;880;1531"
"""230195 BARREIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;21"
"""230210 BATURITE"";-;-;-;-;-;-;-;-;-;-;-;-;143;-;-;-;-;-;-;-;-;-;-;-;-;-;143"
"""230220 BEBERIBE"";-;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;76"
"""230230 BELA CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;57"
"""230240 BOA VIAGEM"";-;-;-;-;-;-;-;-;-;-;-;-;234;-;-;-;-;-;-;-;-;-;-;-;-;-;234"
"""230250 BREJO SANTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87;132;-;808;1027"
"""230260 CAMOCIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;327;327"
"""230270 CAMPOS SALES"";-;-;-;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;68"
"""230280 CANINDE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;434;434"
"""230300 CARIDADE"";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;7"
"""230320 CARIRIACU"";-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;28"
"""230330 CARIUS"";-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;48"
