"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""210150 BARAO DE GRAJAU"";-;508;-;-;-;-;508"
"""210160 BARRA DO CORDA"";2114;1147;-;-;-;-;3261"
"""210170 BARREIRINHAS"";291;4179;-;-;-;-;4470"
"""210177 BELA VISTA DO MARANHAO"";1;556;-;-;-;-;557"
"""210190 BEQUIMAO"";-;614;-;-;-;-;614"
"""210193 BERNARDO DO MEARIM"";-;475;-;-;-;-;475"
"""210200 BOM JARDIM"";153;1745;-;-;-;-;1898"
"""210203 BOM JESUS DAS SELVAS"";-;1125;-;-;-;-;1125"
"""210210 BREJO"";-;951;-;-;-;-;951"
"""210220 BURITI"";-;1818;-;-;-;-;1818"
"""210230 BURITI BRAVO"";50;1301;-;-;-;-;1351"
"""210232 BURITICUPU"";279;3958;-;-;-;-;4237"
"""210240 CAJAPIO"";31;437;-;-;-;-;468"
"""210250 CAJARI"";-;225;-;-;-;-;225"
"""210260 CANDIDO MENDES"";1;695;-;-;-;-;696"
"""210270 CANTANHEDE"";1;1189;-;-;-;-;1190"
"""210280 CAROLINA"";22;2054;-;-;-;-;2076"
"""210290 CARUTAPERA"";535;1928;-;-;-;-;2463"
"""210300 CAXIAS"";1448;15768;-;-;-;-;17216"
"""210310 CEDRAL"";-;957;-;-;-;-;957"
"""210312 CENTRAL DO MARANHAO"";479;43;-;-;-;-;522"
"""210320 CHAPADINHA"";1052;4259;-;-;-;-;5311"
"""210325 CIDELANDIA"";-;951;-;-;-;-;951"
"""210330 CODO"";720;4338;-;-;-;-;5058"
"""210340 COELHO NETO"";1490;945;-;-;-;-;2435"
"""210350 COLINAS"";796;7214;-;-;-;-;8010"
"""210355 CONCEICAO DO LAGO-ACU"";-;883;-;-;-;-;883"
"""210360 COROATA"";900;3801;-;-;-;-;4701"
"""210370 CURURUPU"";6;5256;-;-;1;-;5263"
"""210380 DOM PEDRO"";-;656;-;-;-;-;656"
"""210390 DUQUE BACELAR"";-;944;-;-;-;-;944"
"""210400 ESPERANTINOPOLIS"";1;1326;-;-;-;-;1327"
"""210405 ESTREITO"";-;2115;-;-;-;-;2115"
"""210407 FEIRA NOVA DO MARANHAO"";-;672;-;-;-;-;672"
"""210408 FERNANDO FALCAO"";1;491;-;-;-;-;492"
"""210409 FORMOSA DA SERRA NEGRA"";-;708;-;-;-;-;708"
"""210410 FORTALEZA DOS NOGUEIRAS"";-;680;-;-;-;-;680"
"""210420 FORTUNA"";-;517;-;-;-;-;517"
"""210440 GONCALVES DIAS"";-;246;-;-;-;-;246"
"""210450 GOVERNADOR ARCHER"";-;266;-;-;-;-;266"
"""210455 GOVERNADOR EDISON LOBAO"";-;408;-;-;-;-;408"
"""210460 GOVERNADOR EUGENIO BARROS"";-;1275;-;-;-;-;1275"
"""210462 GOVERNADOR LUIZ ROCHA"";-;576;-;-;-;-;576"
"""210465 GOVERNADOR NEWTON BELLO"";-;566;-;-;-;-;566"
"""210467 GOVERNADOR NUNES FREIRE"";2;6208;-;-;-;-;6210"
"""210480 GRAJAU"";877;4946;-;-;-;-;5823"
"""210490 GUIMARAES"";776;30;-;-;-;-;806"
"""210500 HUMBERTO DE CAMPOS"";2;1585;-;-;-;-;1587"
"""210510 ICATU"";1;514;-;-;-;-;515"
"""210515 IGARAPE DO MEIO"";1;702;-;-;-;-;703"
"""210520 IGARAPE GRANDE"";-;915;-;-;-;-;915"
"""210530 IMPERATRIZ"";3012;24025;-;-;1;-;27038"
"""210535 ITAIPAVA DO GRAJAU"";168;666;-;-;-;-;834"
"""210540 ITAPECURU MIRIM"";2;2806;-;-;-;-;2808"
"""210542 ITINGA DO MARANHAO"";22;671;-;-;-;-;693"
"""210545 JATOBA"";2;679;-;-;-;-;681"
"""210547 JENIPAPO DOS VIEIRAS"";98;893;-;-;-;-;991"
"""210550 JOAO LISBOA"";1490;171;-;-;-;-;1661"
"""210570 LAGO DA PEDRA"";3000;4988;-;-;-;-;7988"
"""210580 LAGO DO JUNCO"";1191;-;-;-;-;-;1191"
"""210590 LAGO VERDE"";-;43;-;-;-;-;43"
"""210594 LAGO DOS RODRIGUES"";1;710;-;-;-;-;711"
"""210596 LAGOA GRANDE DO MARANHAO"";390;9;-;-;-;-;399"
"""210600 LIMA CAMPOS"";376;529;-;-;-;-;905"
"""210610 LORETO"";-;343;-;-;-;-;343"
"""210630 MAGALHAES DE ALMEIDA"";-;426;-;-;-;-;426"
"""210637 MARANHAOZINHO"";-;1038;-;-;-;-;1038"
"""210640 MATA ROMA"";-;748;-;-;-;-;748"
"""210650 MATINHA"";-;737;-;-;-;-;737"
"""210660 MATOES"";28;724;-;-;-;-;752"
"""210667 MILAGRES DO MARANHAO"";-;242;-;-;-;-;242"
"""210670 MIRADOR"";1;171;-;-;-;-;172"
"""210675 MIRANDA DO NORTE"";-;892;-;-;-;-;892"
"""210680 MIRINZAL"";40;825;-;-;-;-;865"
"""210690 MONCAO"";419;2023;-;-;-;-;2442"
"""210700 MONTES ALTOS"";-;111;-;-;-;-;111"
