"""Munic¡pio"";""2008/Jan"";""2008/Fev"";""2008/Mar"";""2008/Abr"";""2008/Mai"";""2008/Jun"";""2008/Jul"";""2008/Ago"";""2008/Set"";""2008/Out"";""2008/Nov"";""2008/Dez"";""2009/Jan"";""2009/Fev"";""2009/Mar"";""2009/Abr"";""2009/Mai"";""2009/Jun"";""2009/Jul"";""2009/Ago"";""2009/Set"";""2009/Out"";""2009/Nov"";""2009/Dez"";""2010/Jan"";""2010/Mar"";""2010/Abr"";""2010/Mai"";""2010/Jun"";""2010/Jul"";""2010/Ago"";""2010/Set"";""2010/Out"";""2010/Nov"";""2010/Dez"";""2011/Jan"";""2011/Fev"";""2011/Mar"";""2011/Abr"";""2011/Mai"";""2011/Jun"";""2011/Jul"";""2011/Ago"";""2011/Set"";""2011/Out"";""2011/Nov"";""2011/Dez"";""2012/Jan"";""2012/Fev"";""2012/Mar"";""2012/Abr"";""2012/Mai"";""2012/Jun"";""2012/Jul"";""2012/Ago"";""2012/Set"";""2012/Out"";""2012/Nov"";""2012/Dez"";""2013/Jan"";""2013/Fev"";""2013/Mar"";""2013/Abr"";""2013/Mai"";""2013/Jun"";""2013/Jul"";""2013/Ago"";""2013/Set"";""2013/Out"";""2013/Nov"";""2013/Dez"";""2014/Jan"";""2014/Fev"";""2014/Mar"";""2014/Abr"";""2014/Mai"";""2014/Jun"";""2014/Jul"";""2014/Ago"";""2014/Set"";""2014/Out"";""2014/Nov"";""2014/Dez"";""2015/Jan"";""2015/Fev"";""2015/Mar"";""2015/Abr"";""2015/Mai"";""2015/Jun"";""2015/Jul"";""2015/Ago"";""2015/Set"";""2015/Out"";""2015/Nov"";""2015/Dez"";""2016/Jan"";""2016/Fev"";""2016/Mar"";""2016/Abr"";""2016/Mai"";""2016/Jun"";""2016/Jul"";""2016/Ago"";""2016/Set"";""2016/Out"";""2016/Nov"";""2016/Dez"";""2017/Jan"";""2017/Fev"";""2017/Mar"";""2017/Abr"";""2017/Mai"";""2017/Jun"";""2017/Jul"";""2017/Ago"";""2017/Set"";""2017/Out"";""2017/Nov"";""2017/Dez"";""2018/Jan"";""2018/Fev"";""2018/Mar"";""2018/Abr"";""2018/Mai"";""2018/Jun"";""2018/Jul"";""2018/Ago"";""2018/Set"";""2018/Out"";""2018/Nov"";""2018/Dez"";""2019/Jan"";""2019/Fev"";""2019/Mar"";""2019/Abr"";""2019/Mai"";""2019/Jun"";""2019/Jul"";""2019/Ago"";""2019/Set"";""2019/Out"";""2019/Nov"";""2019/Dez"";""2020/Jan"";""2020/Fev"";""2020/Mar"";""2020/Abr"";""2020/Mai"";""2020/Jun"";""2020/Jul"";""2020/Ago"";""2020/Set"";""2020/Out"";""2020/Nov"";""2020/Dez"";""2021/Jan"";""2021/Fev"";""2021/Mar"";""2021/Abr"";""2021/Mai"";""2021/Jun"";""2021/Jul"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""421725 SAO PEDRO DE ALCANTARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10639,67;-;-;-;-;-;-;-;-;-;35897,99;-;-;10708,38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18951,61;-;-;-;-;-;-;5867,35;-;9927,69;-;-;-;11094,60;32084,14;28762,25;18290,60;29656,44;61280,51;22904,19;26223,95;43463,16;31623,35;35775,79;41430,49;83824,54;66809,95;64422,10;63907,41;98080,76;94240,95;90330,03;108518,56;245490,98;120724,29;114580,73;107666,72;107048,00;98870,71;131542,12;119947,30;118800,08;117137,78;90791,43;146722,14;122723,75;110874,96;100887,10;132552,91;116324,60;86898,19;135962,24;101115,22;81820,03;93568,86;107275,53;107411,19;141626,24;149811,23;179493,09;184385,58;141209,08;136526,29;131771,76;115338,64;98023,47;75178,40;5314817,10"
"""421730 SAUDADES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175,97;5348,28;33112,67;25318,32;12097,82;14122,16;14786,45;19974,59;17518,08;38359,17;19419,03;33645,16;26016,01;17923,60;8811,05;6658,38;13000,86;19003,36;33107,47;28610,13;54891,04;88871,98;36171,07;85388,43;72830,92;96437,58;39580,21;321028,57;312788,75;125640,06;141982,08;231519,42;198614,85;315176,12;282320,30;347104,84;342280,54;248824,92;191305,27;265952,12;329382,15;207310,88;306617,93;233635,20;354200,42;366248,47;335262,75;450179,17;281718,31;263726,91;225437,65;7539437,47"
"""421750 SEARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;718,26;20603,57;41023,53;62282,84;43294,28;50361,84;52005,84;56975,03;50684,55;58611,51;41890,40;49316,70;48017,78;45888,45;63163,04;46456,89;63419,91;56194,27;65785,95;69689,92;73305,17;56138,12;47913,00;83644,18;63388,28;53663,49;81878,70;84438,65;109654,01;130419,99;124322,03;132539,01;110393,37;127968,73;151105,40;190372,70;168091,13;109706,30;109136,82;158525,91;178232,03;168529,76;149172,13;89799,21;123772,75;89165,81;157581,65;135590,64;109338,62;106591,48;65611,42;4526375,05"
"""421770 SOMBRIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;308,86;18434,85;202428,33;220083,07;165801,54;277483,45;306218,36;333272,27;304720,96;364035,95;275538,05;311370,40;247015,24;214261,22;323574,31;242852,62;294089,50;477594,26;636811,67;578515,04;631895,83;652047,62;593490,55;782769,70;369282,49;-;23081,34;1035,23;1065623,77;1424335,51;1837367,51;2017237,98;2146924,07;2459174,53;2596744,99;2580686,46;2486305,99;1806711,97;1620055,89;2246904,31;2403209,64;2487793,48;2359585,56;1865856,09;2132019,72;1999992,69;1954419,71;2169703,01;2146451,28;1781358,58;1461386,63;55897862,08"
"""421780 TAIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2567,60;9817,65;46983,13;36172,90;38360,55;39726,97;45375,92;46373,05;47564,04;39818,25;42126,99;32197,63;35250,12;35457,72;29756,83;46727,48;38192,15;45354,81;64844,58;50900,67;43756,96;57332,92;61001,37;50896,28;55777,47;58055,26;72413,25;50634,40;75627,90;82450,09;77918,58;88313,92;63767,47;69055,90;64596,53;64690,25;56264,42;69507,41;43905,02;56108,04;45766,46;51804,28;58516,72;60346,80;61599,98;68383,08;69563,75;67534,43;49258,81;49693,29;17836,78;2635946,86"
"""421790 TANGARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9845,81;6852,09;4340,46;5571,62;4632,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11925,13;13511,95;66951,01;176779,74;112598,29;272433,91;259743,09;234322,54;157663,93;387373,14;176093,52;151789,14;162743,69;180130,12;96681,90;100719,37;135958,57;66077,89;63023,83;161207,88;110635,29;105891,45;56181,62;77258,11;115133,04;115441,12;91349,87;237779,04;3928640,68"
"""421800 TIJUCAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;218,68;4328,66;17834,27;70309,17;55074,21;78502,24;72720,15;78545,35;58066,93;81937,83;66367,93;64271,30;36077,45;2156,29;-;-;-;-;4469,20;7228,44;175175,07;185310,85;162990,65;139385,34;189764,57;128712,91;178520,24;697479,38;443457,82;898548,33;532415,15;951930,55;779175,06;730405,74;797564,14;1133074,39;1143494,30;888161,22;760031,71;752511,88;866986,21;1067007,10;1207800,58;1001095,69;642032,37;651317,21;437294,06;457545,02;594131,26;610277,23;488258,87;323778,72;20713741,72"
"""421810 TIMBE DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1239,74;3142,83;53587,31;33874,49;32014,91;44191,83;82482,44;80675,62;126901,46;241654,44;176313,00;206094,07;132247,38;141780,35;156299,59;177939,94;199837,68;160539,06;215941,20;266320,60;261332,98;321715,96;226586,49;318061,10;324532,85;273641,69;459239,67;396436,63;456836,97;468376,17;411112,76;424545,81;655064,87;527379,63;471229,17;601711,28;461749,96;328470,60;321902,65;505023,32;296058,81;286784,19;404266,82;275705,58;382461,33;218430,59;364086,25;404195,10;404271,63;188090,95;260920,46;14233300,21"
"""421820 TIMBO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97120,23;127568,44;494946,45;691189,15;453336,66;574629,59;577936,49;655954,45;702481,07;713783,68;678493,93;600282,89;606487,56;534797,29;601599,48;553781,51;580659,43;729113,99;826062,51;941113,49;882792,10;936417,01;988743,02;782135,25;919106,28;790475,91;793021,19;883279,80;1128373,01;1278561,00;1504547,12;1505773,99;1471273,76;1685714,75;1365315,66;1305717,15;1465751,86;1172773,73;1023387,94;1085641,62;1368557,35;1514798,06;1372423,64;1580649,59;1577260,42;1669923,01;1606302,17;1334112,77;1734702,37;884247,45;522398,81;182814,47;50058330,55"
"""421830 TRES BARRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5866,60;70040,58;54114,15;52415,39;64414,56;76009,12;67302,10;72754,02;69841,82;85672,62;91834,23;73897,71;56408,51;66920,69;64126,40;86803,67;81663,72;101041,70;88837,50;101677,40;102657,87;88430,00;72131,93;84531,33;67800,48;117729,39;127160,93;131883,52;164482,42;113589,85;135593,01;174969,65;218361,44;184060,21;135230,45;108076,20;90122,41;89293,75;90978,44;84100,10;95975,47;90200,90;94843,33;97886,16;79992,36;77649,58;94842,80;72290,86;65980,60;60233,46;4642721,39"
"""421840 TREZE DE MAIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;590,42;33118,67;121900,08;84484,85;91851,52;101731,99;128858,02;116034,89;123724,77;142196,05;145312,17;166484,08;152873,02;138785,37;103923,66;122903,94;134199,39;109954,60;201602,42;196604,06;178572,95;165764,02;169983,68;187730,75;178496,50;130607,14;225948,84;241616,26;263536,74;230122,94;308498,86;267050,94;365852,45;348992,52;245618,19;411111,27;341544,70;224572,37;239151,31;265525,80;285668,85;375776,91;281331,57;193294,47;205029,93;155436,44;206798,76;221888,23;202826,74;138250,09;106593,76;9780327,95"
"""421860 TROMBUDO CENTRAL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;219341,71;-;-;-;-;94214,68;-;-;-;-;-;46791,68;-;-;-;-;-;-;-;-;-;24473,28;-;-;-;-;-;-;-;-;17392,96;-;-;-;-;46868,64;-;-;-;27525,96;-;-;-;91591,20;-;-;13034,78;-;-;-;105386,31;103565,70;67674,49;-;16084,64;-;-;923,52;68879,20;140283,98;1847,04;103324,40;122751,24;10724,72;26115,02;25445,08;175735,14;14905,28;135635,53;122898,37;19380,44;89314,06;134105,11;62972,38;46046,42;55501,86;25495,90;72248,44;19434,07;23944,24;75461,59;83854,20;106664,08;101874,97;56109,55;73827,88;89688,31;60091,58;78553,96;31198,24;36373,37;75946,84;77715,93;62920,23;117645,86;138991,20;20485,81;92197,73;36645,74;135525,96;71445,68;96846,71;46421,31;42349,79;28524,91;42822,99;37924,99;35282,96;58941,35;76686,18;47348,79;47910,34;79237,10;36202,24;38721,56;20042,67;4730340,07"
"""421870 TUBARAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126964,87;297799,25;1513967,28;2572108,64;2906746,96;2889078,55;3305811,41;3303787,50;3390772,94;3114182,83;3191882,80;3201777,84;3421409,55;3534090,46;3270910,80;3115927,23;3555384,08;2954782,22;3094145,15;2983642,04;3213311,22;2868707,19;3172384,26;3507720,14;3225042,69;3271495,57;3341354,27;3030649,31;3728407,51;3051339,96;3673906,90;3400638,55;3484164,51;3306659,04;3824771,46;3306925,57;3533867,82;3267872,08;3313974,80;2906984,26;3481788,95;2928370,26;3277420,18;3249379,16;3551722,67;3394485,82;3583265,33;3281024,37;3822677,47;3391808,34;3448409,43;2833120,78;1615770,11;164034592,38"
"""421875 TUNAPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28921,64;47799,47;30181,92;40971,36;47956,28;63345,89;35001,02;46795,25;52267,54;45533,77;45770,23;59482,64;63514,85;50617,23;66143,69;57240,97;68670,33;92231,72;70722,83;83603,72;88720,92;79806,86;89849,40;63863,81;73793,81;120671,85;87993,73;93297,60;88502,77;112114,21;86898,41;103780,81;99377,31;87473,68;102859,40;100477,02;99970,90;73037,63;88919,78;66403,48;80738,38;52768,99;65926,62;70200,19;72895,38;67775,47;55570,75;56473,30;56911,24;18557,06;3502403,11"
"""421880 TURVO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1913,41;5255,21;23510,60;19802,38;17988,63;28942,85;28856,05;41257,07;36055,38;40373,87;30309,85;32251,28;29792,01;16664,67;27282,26;20008,23;27807,37;15118,15;44987,45;58636,15;51467,20;55949,26;33933,98;34157,74;52275,89;28027,49;33585,69;26417,40;14789,85;68233,72;48102,40;73853,86;57882,14;53474,37;79296,92;49903,37;53599,49;53636,92;38243,69;33166,61;18539,44;15106,71;28529,54;32851,24;29585,68;25594,37;17776,32;44774,06;32218,05;34029,44;10141,98;1775957,69"
"""421890 URUBICI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2044,02;22834,65;21835,98;21827,85;19946,21;18958,54;12780,04;13921,65;12230,35;10885,79;11732,12;11075,31;12399,34;15621,42;6652,24;9019,19;22498,42;30088,10;20342,80;23446,97;16635,27;36079,25;25687,54;31085,10;27105,29;147720,92;90659,77;162188,72;122652,63;107416,90;58782,95;43372,48;155305,85;95560,18;226612,76;119812,47;90633,68;24222,05;64421,40;101703,02;56245,44;44493,10;118926,44;25637,99;17473,86;72771,51;20245,42;9287,52;-;5410,30;2438290,80"
"""421900 URUSSANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1500,42;20484,01;69091,26;73489,85;91942,99;88232,15;81289,34;60813,67;43721,63;40316,16;75199,90;84391,16;103752,54;100369,68;59628,81;70980,05;99278,77;99719,48;116568,88;136562,79;99431,57;136471,22;86997,73;116791,04;90162,58;64513,94;70276,11;94120,06;136308,99;140538,86;139940,88;228128,17;212830,83;148946,72;110506,24;209433,85;165889,54;148826,36;153497,03;185634,56;134053,31;151934,71;184956,76;177454,10;211837,57;149312,53;137130,27;201175,88;145714,17;143817,65;99524,55;5993491,32"
"""421910 VARGEAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5287,71;4182,83;12002,34;17291,03;26759,90;31605,11;21971,00;35024,82;31478,55;45926,38;37056,23;49574,35;34742,72;25721,55;24357,49;29385,58;40511,26;54738,56;58046,53;66749,74;57218,83;56475,43;39578,51;55735,90;61206,93;48355,02;47045,03;81677,52;222469,85;171112,73;234720,27;275054,76;311766,39;379750,37;305133,51;332386,76;398354,32;209554,20;168178,15;213367,36;219490,53;206763,60;326593,70;228171,66;304375,82;268250,22;308818,82;303372,07;211746,79;164595,55;173034,21;7036768,49"
"""421920 VIDAL RAMOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1472,33;3258,10;5841,04;4906,76;9110,44;4455,37;5724,47;5502,53;3295,15;4244,07;5606,56;1567,23;5481,80;2702,35;563,00;2734,58;4154,46;1297,88;4615,39;1187,10;2990,06;1572,47;4025,16;2270,02;1223,23;1628,56;3076,92;2397,38;1645,39;2377,36;4163,87;2452,07;1604,56;1898,94;887,86;3205,97;1831,77;386,10;974,04;2579,78;1394,47;738,84;3880,59;1090,12;3589,01;2505,22;4039,44;3468,45;4080,58;2775,09;148473,93"
