"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""231195 SALITRE"";18542,05;-;18542,05"
"""231210 SANTANA DO CARIRI"";6541,73;-;6541,73"
"""231220 SANTA QUITERIA"";79769,43;-;79769,43"
"""231260 SAO LUIS DO CURU"";3907,18;-;3907,18"
"""231290 SOBRAL"";5774889,17;2330337,89;8105227,06"
"""231300 SOLONOPOLE"";11366,43;-;11366,43"
"""231310 TABULEIRO DO NORTE"";147460,37;-;147460,37"
"""231320 TAMBORIL"";37151,62;-;37151,62"
"""231325 TARRAFAS"";3278,22;-;3278,22"
"""231330 TAUA"";617834,05;-;617834,05"
"""231335 TEJUCUOCA"";3383,46;-;3383,46"
"""231340 TIANGUA"";1438858,88;94157,44;1533016,32"
"""231360 UBAJARA"";61080,98;-;61080,98"
"""231370 UMARI"";2877,78;-;2877,78"
"""231375 UMIRIM"";3651,63;-;3651,63"
"""231395 VARJOTA"";14795,07;-;14795,07"
"""231400 VARZEA ALEGRE"";144900,19;-;144900,19"
"""231410 VICOSA DO CEARA"";96023,25;-;96023,25"
"""240020 ACU"";50636,80;-;50636,80"
"""240030 AFONSO BEZERRA"";4294,28;-;4294,28"
"""240050 ALEXANDRIA"";291646,89;-;291646,89"
"""240060 ALMINO AFONSO"";81129,57;-;81129,57"
"""240080 ANGICOS"";7562,51;-;7562,51"
"""240090 ANTONIO MARTINS"";8335,12;-;8335,12"
"""240100 APODI"";81262,93;-;81262,93"
"""240110 AREIA BRANCA"";5425,78;-;5425,78"
"""240200 CAICO"";450974,80;-;450974,80"
"""240230 CARAUBAS"";14291,83;-;14291,83"
"""240250 CARNAUBAIS"";4776,29;-;4776,29"
"""240260 CEARA-MIRIM"";141873,73;-;141873,73"
"""240310 CURRAIS NOVOS"";344876,98;-;344876,98"
"""240320 DOUTOR SEVERIANO"";6436,01;-;6436,01"
"""240325 PARNAMIRIM"";1295586,58;702093,00;1997679,58"
"""240330 ENCANTO"";739,69;-;739,69"
"""240420 GOIANINHA"";2995,77;-;2995,77"
"""240520 JANDUIS"";5977,59;-;5977,59"
"""240530 JANUARIO CICCO"";2918,20;-;2918,20"
"""240560 JARDIM DE PIRANHAS"";7256,49;-;7256,49"
"""240570 JARDIM DO SERIDO"";17290,35;-;17290,35"
"""240580 JOAO CAMARA"";45311,37;-;45311,37"
"""240600 JOSE DA PENHA"";2829,15;-;2829,15"
"""240670 LAJES"";1801,20;-;1801,20"
"""240710 MACAIBA"";375409,82;-;375409,82"
"""240720 MACAU"";34804,66;-;34804,66"
"""240725 MAJOR SALES"";1092,81;-;1092,81"
"""240740 MARTINS"";3108,38;-;3108,38"
"""240760 MESSIAS TARGINO"";608,33;-;608,33"
"""240800 MOSSORO"";3297775,46;1990625,70;5288401,16"
