"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""352900 MARILIA"";-;30;482;879673;870801;881475;874798;848576;833406;721283;599253;636828;819854;765682;889576;840981;778935;751037;919350;936518;1028510;1035925;1109087;1163635;1172050;943118;1060264;1108069;22469196"
"""352930 MATAO"";-;-;-;2192;2179;2151;2302;2319;2238;2375;2455;2320;2459;2426;2464;2430;2401;2541;2642;2764;2539;2831;2753;2760;2798;2462;2533;2530;61864"
"""352940 MAUA"";-;-;324;1132;1120;1266;1072;986;1031;1054;1076;584;1305;1373;1757;1659;1407;1475;1920;1481;1130;1468;2056;2104;2650;2628;2794;1526;38378"
"""352970 MIGUELOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;8;17"
"""353010 MIRANDOPOLIS"";-;-;-;784;-;1063;944;931;719;785;719;727;812;810;760;939;792;773;825;817;830;1066;883;1090;1704;982;1050;1115;21920"
"""353050 MOCOCA"";-;-;-;142;150;116;148;166;189;157;152;196;235;172;209;160;155;155;211;159;207;92;107;128;190;142;126;138;4002"
"""353060 MOGI DAS CRUZES"";-;33;896;757798;741862;739703;757121;726983;754063;804178;749753;801195;840257;829367;755095;832886;834735;805283;830382;837645;819879;867693;875386;899967;924771;752587;689507;834337;20063362"
"""353070 MOGI GUACU"";-;-;-;1386;1164;1068;1509;1517;1508;1434;1596;1791;1805;1766;1539;1864;1832;1861;1887;1940;1552;1713;1688;1846;1809;1731;39;28;37873"
"""353080 MOGI MIRIM"";-;-;15;2631;2527;2680;2174;2322;2200;2348;2324;2242;2349;2375;2507;2568;2265;2416;2418;2513;2409;2599;2427;2564;2777;2432;2667;2426;61175"
"""353110 MONGAGUA"";-;-;-;172;198;268;225;287;220;187;280;246;281;291;270;252;250;279;244;230;483;301;289;283;548;293;273;305;6955"
